Timestamp,Temperature (ÅãC),Humidity (%),Pressure (hPa),Gas Resistance (kOhms)
2025-01-25 21:17:32,21.37,54.56,1020.93,123.88
2025-01-25 21:17:33,21.19,54.16,1020.94,103.26
2025-01-25 21:17:34,21.05,54.11,1020.95,102.17
2025-01-25 21:17:36,20.94,54.11,1020.95,101.92
2025-01-25 21:17:37,20.86,54.12,1020.95,101.48
2025-01-25 21:17:39,20.8,54.17,1020.95,101.42
2025-01-25 21:17:40,20.75,54.21,1020.95,101.55
2025-01-25 21:17:41,20.71,54.23,1020.95,100.81
2025-01-25 21:17:43,20.68,54.26,1020.95,100.93
2025-01-25 21:17:44,20.66,54.31,1020.95,101.3
2025-01-25 21:17:45,20.64,54.34,1020.95,100.07
2025-01-25 21:17:47,20.63,54.37,1020.94,100.75
2025-01-25 21:17:48,20.62,54.4,1020.94,100.75
2025-01-25 21:17:50,20.62,54.41,1020.95,100.2
2025-01-25 21:17:51,20.61,54.42,1020.95,100.5
2025-01-25 21:17:52,20.61,54.4,1020.95,100.62
2025-01-25 21:17:54,20.6,54.4,1020.95,100.87
2025-01-25 21:17:55,20.6,54.4,1020.95,99.89
2025-01-25 21:17:56,20.59,54.38,1020.95,100.56
2025-01-25 21:17:58,20.58,54.39,1020.95,100.68
2025-01-25 21:17:59,20.58,54.39,1020.95,101.17
2025-01-25 21:18:00,20.57,54.38,1020.96,100.75
2025-01-25 21:18:02,20.56,54.4,1020.95,100.26
2025-01-25 21:18:03,20.56,54.4,1020.94,100.56
2025-01-25 21:18:05,20.56,54.42,1020.94,100.68
2025-01-25 21:18:06,20.56,54.43,1020.95,100.44
2025-01-25 21:18:07,20.56,54.43,1020.95,101.17
2025-01-25 21:18:09,20.56,54.44,1020.95,100.62
2025-01-25 21:18:10,20.56,54.44,1020.96,100.81
2025-01-25 21:18:11,20.56,54.45,1020.96,100.32
2025-01-25 21:18:13,20.56,54.45,1020.96,99.89
2025-01-25 21:18:14,20.56,54.45,1020.96,100.5
2025-01-25 21:18:16,20.56,54.45,1020.96,100.5
2025-01-25 21:18:17,20.56,54.45,1020.96,100.62
2025-01-25 21:18:18,20.56,54.45,1020.96,100.93
2025-01-25 21:18:20,20.56,54.46,1020.95,100.44
2025-01-25 21:18:21,20.56,54.45,1020.95,100.87
2025-01-25 21:18:22,20.56,54.45,1020.96,101.42
2025-01-25 21:18:24,20.56,54.47,1020.95,100.87
2025-01-25 21:18:25,20.55,54.47,1020.95,100.5
2025-01-25 21:18:26,20.55,54.46,1020.95,100.81
2025-01-25 21:18:28,20.55,54.49,1020.96,100.93
2025-01-25 21:18:29,20.54,54.49,1020.96,100.99
2025-01-25 21:18:31,20.54,54.49,1020.96,100.87
2025-01-25 21:18:32,20.54,54.5,1020.95,101.11
2025-01-25 21:18:33,20.55,54.49,1020.95,100.44
2025-01-25 21:18:35,20.55,54.6,1020.95,99.89
2025-01-25 21:18:36,20.54,54.73,1020.95,100.56
2025-01-25 21:18:37,20.54,54.75,1020.96,100.56
2025-01-25 21:18:39,20.53,54.78,1020.96,100.56
2025-01-25 21:18:40,20.54,54.8,1020.96,100.75
2025-01-25 21:18:42,20.54,54.8,1020.95,100.5
2025-01-25 21:18:43,20.55,54.77,1020.95,101.17
2025-01-25 21:18:44,20.55,54.74,1020.96,100.62
2025-01-25 21:18:46,20.55,54.73,1020.96,100.68
2025-01-25 21:18:47,20.56,54.7,1020.96,100.62
2025-01-25 21:18:48,20.56,54.67,1020.96,101.11
2025-01-25 21:18:50,20.56,54.65,1020.96,101.11
2025-01-25 21:18:51,20.56,54.63,1020.95,100.68
2025-01-25 21:18:53,20.56,54.6,1020.95,100.44
2025-01-25 21:18:54,20.56,54.57,1020.95,101.17
2025-01-25 21:18:55,20.55,54.57,1020.94,101.42
2025-01-25 21:18:57,20.55,54.55,1020.94,101.24
2025-01-25 21:18:58,20.55,54.56,1020.95,101.24
2025-01-25 21:18:59,20.55,54.55,1020.95,100.62
2025-01-25 21:19:01,20.55,54.55,1020.96,101.17
2025-01-25 21:19:02,20.55,54.53,1020.96,101.48
2025-01-25 21:19:03,20.55,54.52,1020.96,101.55
2025-01-25 21:19:05,20.55,54.51,1020.96,101.3
2025-01-25 21:19:06,20.55,54.49,1020.97,101.98
2025-01-25 21:19:08,20.55,54.5,1020.96,101.24
2025-01-25 21:19:09,20.56,54.48,1020.96,101.92
2025-01-25 21:19:10,20.56,54.49,1020.97,101.42
2025-01-25 21:19:12,20.55,54.47,1020.97,100.5
2025-01-25 21:19:13,20.55,54.47,1020.97,101.42
2025-01-25 21:19:14,20.55,54.47,1020.97,101.42
2025-01-25 21:19:16,20.55,54.49,1020.98,101.24
2025-01-25 21:19:17,20.55,54.49,1020.98,101.11
2025-01-25 21:19:19,20.55,54.5,1020.97,101.42
2025-01-25 21:19:20,20.55,54.52,1020.97,101.8
2025-01-25 21:19:21,20.55,54.54,1020.97,101.8
2025-01-25 21:19:23,20.54,54.54,1020.97,101.05
2025-01-25 21:19:24,20.54,54.54,1020.98,101.61
2025-01-25 21:19:25,20.53,54.56,1020.97,101.55
2025-01-25 21:19:27,20.53,54.56,1020.97,101.73
2025-01-25 21:19:28,20.53,54.56,1020.97,101.42
2025-01-25 21:19:29,20.53,54.59,1020.97,101.24
2025-01-25 21:19:31,20.52,54.59,1020.96,100.75
2025-01-25 21:19:32,20.52,54.61,1020.97,100.81
2025-01-25 21:19:34,20.52,54.61,1020.97,101.48
2025-01-25 21:19:35,20.52,54.62,1020.98,101.36
2025-01-25 21:19:36,20.52,54.62,1020.98,101.48
2025-01-25 21:19:38,20.52,54.63,1020.97,101.3
2025-01-25 21:19:39,20.52,54.63,1020.97,101.48
2025-01-25 21:19:40,20.52,54.65,1020.97,101.48
2025-01-25 21:19:42,20.52,54.63,1020.97,101.55
2025-01-25 21:19:43,20.52,54.64,1020.97,101.67
2025-01-25 21:19:45,20.53,54.64,1020.98,101.73
2025-01-25 21:19:46,20.53,54.63,1020.97,101.67
2025-01-25 21:19:47,20.53,54.63,1020.96,101.8
2025-01-25 21:19:49,20.53,54.63,1020.96,101.42
2025-01-25 21:19:50,20.53,54.63,1020.95,101.55
2025-01-25 21:19:51,20.53,54.62,1020.96,101.67
2025-01-25 21:19:53,20.53,54.63,1020.95,101.92
2025-01-25 21:19:54,20.54,54.63,1020.95,101.42
2025-01-25 21:19:56,20.54,54.63,1020.95,101.42
2025-01-25 21:19:57,20.54,54.62,1020.95,101.8
2025-01-25 21:19:58,20.54,54.63,1020.95,102.3
2025-01-25 21:20:00,20.54,54.63,1020.95,101.67
2025-01-25 21:20:01,20.54,54.62,1020.96,101.05
2025-01-25 21:20:02,20.54,54.62,1020.96,101.42
2025-01-25 21:20:04,20.54,54.63,1020.96,101.67
2025-01-25 21:20:05,20.55,54.63,1020.96,102.3
2025-01-25 21:20:06,20.55,54.63,1020.96,101.73
2025-01-25 21:20:08,20.55,54.63,1020.96,101.92
2025-01-25 21:20:09,20.55,54.62,1020.95,102.05
2025-01-25 21:20:11,20.55,54.62,1020.95,101.8
2025-01-25 21:20:12,20.55,54.61,1020.96,101.8
2025-01-25 21:20:13,20.56,54.6,1020.96,101.8
2025-01-25 21:20:15,20.56,54.6,1020.96,101.73
2025-01-25 21:20:16,20.56,54.6,1020.96,101.8
2025-01-25 21:20:17,20.56,54.59,1020.96,101.55
2025-01-25 21:20:19,20.55,54.58,1020.95,101.67
2025-01-25 21:20:20,20.55,54.6,1020.95,101.36
2025-01-25 21:20:22,20.54,54.58,1020.95,102.36
2025-01-25 21:20:23,20.54,54.6,1020.96,101.73
2025-01-25 21:20:24,20.54,54.6,1020.96,102.49
2025-01-25 21:20:26,20.54,54.6,1020.95,102.17
2025-01-25 21:20:27,20.54,54.61,1020.95,102.17
2025-01-25 21:20:28,20.55,54.62,1020.95,101.98
2025-01-25 21:20:30,20.55,54.62,1020.95,101.8
2025-01-25 21:20:31,20.56,54.64,1020.95,101.86
2025-01-25 21:20:32,20.56,54.63,1020.94,102.05
2025-01-25 21:20:34,20.57,54.61,1020.95,102.17
2025-01-25 21:20:35,20.56,54.61,1020.96,102.36
2025-01-25 21:20:37,20.56,54.62,1020.95,102.62
2025-01-25 21:20:38,20.56,54.61,1020.97,102.17
2025-01-25 21:20:39,20.57,54.59,1020.97,101.8
2025-01-25 21:20:41,20.57,54.59,1020.96,101.98
2025-01-25 21:20:42,20.57,54.59,1020.97,102.24
2025-01-25 21:20:43,20.57,54.57,1020.97,101.42
2025-01-25 21:20:45,20.57,54.57,1020.97,102.24
2025-01-25 21:20:46,20.57,54.57,1020.96,102.36
2025-01-25 21:20:48,20.57,54.54,1020.97,102.05
2025-01-25 21:20:49,20.58,54.55,1020.97,102.17
2025-01-25 21:20:50,20.57,54.57,1020.97,101.67
2025-01-25 21:20:52,20.57,54.55,1020.97,103.06
2025-01-25 21:20:53,20.57,54.55,1020.97,102.05
2025-01-25 21:20:54,20.57,54.54,1020.97,101.67
2025-01-25 21:20:56,20.57,54.53,1020.97,102.49
2025-01-25 21:20:57,20.56,54.53,1020.97,102.68
2025-01-25 21:20:59,20.56,54.5,1020.97,102.55
2025-01-25 21:21:00,20.55,54.51,1020.97,102.05
2025-01-25 21:21:01,20.55,54.51,1020.96,102.36
2025-01-25 21:21:03,20.55,54.51,1020.97,102.49
2025-01-25 21:21:04,20.55,54.51,1020.98,102.68
2025-01-25 21:21:05,20.55,54.51,1020.97,102.24
2025-01-25 21:21:07,20.56,54.51,1020.97,102.87
2025-01-25 21:21:08,20.56,54.53,1020.97,101.98
2025-01-25 21:21:09,20.56,54.51,1020.96,102.43
2025-01-25 21:21:11,20.56,54.52,1020.96,102.36
2025-01-25 21:21:12,20.56,54.53,1020.97,102.62
2025-01-25 21:21:14,20.56,54.53,1020.96,102.49
2025-01-25 21:21:15,20.56,54.5,1020.97,102.75
2025-01-25 21:21:16,20.57,54.51,1020.97,102.3
2025-01-25 21:21:18,20.57,54.51,1020.97,102.62
2025-01-25 21:21:19,20.57,54.52,1020.97,102.05
2025-01-25 21:21:20,20.57,54.52,1020.96,102.55
2025-01-25 21:21:22,20.58,54.51,1020.96,102.94
2025-01-25 21:21:23,20.58,54.51,1020.96,102.75
2025-01-25 21:21:25,20.58,54.51,1020.97,102.75
2025-01-25 21:21:26,20.59,54.53,1020.97,102.62
2025-01-25 21:21:27,20.59,54.51,1020.97,102.3
2025-01-25 21:21:29,20.59,54.5,1020.96,102.11
2025-01-25 21:21:30,20.59,54.5,1020.97,103.32
2025-01-25 21:21:31,20.59,54.5,1020.97,102.81
2025-01-25 21:21:33,20.59,54.51,1020.97,102.81
2025-01-25 21:21:34,20.59,54.51,1020.97,102.62
2025-01-25 21:21:35,20.6,54.53,1020.97,102.43
2025-01-25 21:21:37,20.6,54.55,1020.96,102.49
2025-01-25 21:21:38,20.6,54.53,1020.96,102.68
2025-01-25 21:21:40,20.61,54.53,1020.96,102.75
2025-01-25 21:21:41,20.61,54.51,1020.95,102.36
2025-01-25 21:21:42,20.6,54.51,1020.96,101.92
2025-01-25 21:21:44,20.6,54.51,1020.96,102.94
2025-01-25 21:21:45,20.6,54.51,1020.96,103.06
2025-01-25 21:21:46,20.6,54.52,1020.96,102.49
2025-01-25 21:21:48,20.6,54.52,1020.96,102.49
2025-01-25 21:21:49,20.6,54.53,1020.96,102.81
2025-01-25 21:21:51,20.61,54.53,1020.96,102.36
2025-01-25 21:21:52,20.61,54.51,1020.95,102.94
2025-01-25 21:21:53,20.61,54.52,1020.96,102.94
2025-01-25 21:21:55,20.6,54.52,1020.95,102.49
2025-01-25 21:21:56,20.59,54.51,1020.95,103.13
2025-01-25 21:21:57,20.59,54.52,1020.96,102.94
2025-01-25 21:21:59,20.58,54.52,1020.96,103.19
2025-01-25 21:22:00,20.58,54.54,1020.96,102.62
2025-01-25 21:22:02,20.58,54.54,1020.96,103.19
2025-01-25 21:22:03,20.58,54.55,1020.96,102.94
2025-01-25 21:22:04,20.59,54.54,1020.96,103.0
2025-01-25 21:22:06,20.59,54.54,1020.95,102.62
2025-01-25 21:22:07,20.59,54.56,1020.95,103.32
2025-01-25 21:22:08,20.59,54.54,1020.95,103.32
2025-01-25 21:22:10,20.59,54.55,1020.95,102.68
2025-01-25 21:22:11,20.59,54.55,1020.95,103.13
2025-01-25 21:22:12,20.59,54.58,1020.96,102.87
2025-01-25 21:22:14,20.59,54.54,1020.95,103.13
2025-01-25 21:22:15,20.6,54.56,1020.96,103.19
2025-01-25 21:22:17,20.6,54.56,1020.96,102.94
2025-01-25 21:22:18,20.61,54.55,1020.96,102.94
2025-01-25 21:22:19,20.61,54.55,1020.97,103.84
2025-01-25 21:22:21,20.6,54.55,1020.97,103.58
2025-01-25 21:22:22,20.6,54.54,1020.97,103.32
2025-01-25 21:22:23,20.6,54.55,1020.96,103.32
2025-01-25 21:22:25,20.6,54.53,1020.96,102.87
2025-01-25 21:22:26,20.59,54.54,1020.96,102.87
2025-01-25 21:22:28,20.59,54.52,1020.95,103.45
2025-01-25 21:22:29,20.6,54.52,1020.95,103.06
2025-01-25 21:22:30,20.6,54.51,1020.96,103.39
2025-01-25 21:22:32,20.59,54.49,1020.96,103.32
